University,Page_URL,Keyword_Found,Context
aiph.ac.in,https://aiph.ac.in/Academics/BscMicroBio,Multiple Entry,"As per the UGC Guidelines for Multiple Entry and Exit in Academic Program offered in Higher Education Institutions, after completing the requirements of a three-year Bachelor's Degree, candidates who secure a minimum CGPA of 7.5 shall be allowed to continue studies in the fourth year of the undergraduate program to pursue and complete the Bachelor's Degree with Research. Students who do not have 7.5 CGPA up to the sixth semester will be awarded Bachelor's Degree as they will have to exit the Bachelor's Degree Program after completing the sixth semester. The University will offer four years of Bachelor's Degree and two years of Master's Degree Program from the academic session 2022 to 2023 and one year of Master's Degree Program from the academic session 2026 to 2027, in line with the recommendations of the National Education Policy 2020."
aiph.ac.in,https://aiph.ac.in/Academics/BscBotany,Multiple Entry,"As per the UGC Guidelines for Multiple Entry and Exit in Academic Programmes offered in Higher Education Institutions, after completing the requirements of a three-year Bachelor's Degree, candidates who secure a minimum CGPA of 7.5 shall be allowed to continue studies in the fourth year of the undergraduate programme to pursue and complete the bachelor's degree with Research. Those students who do not have 7.5 CGPA up to the 6th Semester will be awarded Bachelor's Degree as they will have to exit the Bachelor's Degree Programme after completing the 6th Semester. The University will offer fouryears Bachelor's Degree and two Years Master's Degree Programmes from the academic session 2022 to 2023 and oneyear PG Programmes from the academic session 2026 to 2027, in line with the recommendations of National Education Policy 2020"
aiph.ac.in,https://aiph.ac.in/Academics/BscZoology,Multiple Entry,"As per the UGC Guidelines for Multiple Entry and Exit in Academic Programmes offered in Higher Education Institutions, after completing the requirements of a three-year Bachelor's Degree, candidates who secure a minimum CGPA of 7.5 shall be allowed to continue studies in the fourth year of the undergraduate programme to pursue and complete the bachelor's degree with Research. Those students who do not have 7.5 CGPA up to the 6th Semester will be awarded Bachelor's Degree as they will have to exit the Bachelor's Degree Programme after completing the 6th Semester. The University will offer fouryears Bachelor's Degree and two Years Master's Degree Programmes from the academic session 2022 to 2023 and oneyear PG Programmes from the academic session 2026 to 2027, in line with the recommendations of National Education Policy 2020"
aiph.ac.in,https://aiph.ac.in/Academics/BscBioChemistry,Multiple Entry,"As per the UGC Guidelines for Multiple Entry and Exit in Academic Programmes offered in Higher Education Institutions, after completing the requirements of a three-year Bachelor's Degree, candidates who secure a minimum CGPA of 7.5 shall be allowed to continue studies in the fourth year of the undergraduate programme to pursue and complete the bachelor's degree with Research. Those students who do not have 7.5 CGPA up to the 6th Semester will be awarded Bachelor's Degree as they will have to exit the Bachelor's Degree Programme after completing the 6th Semester. The University will offer fouryears Bachelor's Degree and two Years Master's Degree Programmes from the academic session 2022 to 2023 and oneyear PG Programmes from the academic session 2026 to 2027, in line with the recommendations of National Education Policy 2020"
www.amity.edu,https://www.amity.edu/mumbai/nep.aspx,Multiple Entry,"As per new structure and duration of undergraduate programmes proposed by NEP 2020, Amity                      University                      Mumbai is offering Four-Year Undergraduate degree programmes for the students to                      experience full range of holistic and multidisciplinary education.The programmes will offer flexible                      and innovative curriculum with multiple entry/exit during this period, with appropriate                      certification:"
www.amity.edu,https://www.amity.edu/gurugram/nep.aspx,Multiple Entry,"As per new structure and duration of undergraduate programmes proposed by NEP 2020, Amity University                    Gurugram is offering Four-Year Undergraduate degree programmes for the students to                    experience full range of holistic and multidisciplinary education.The programmes will offer flexible                    and innovative curriculum with multiple entry/exit during this period, with appropriate certification:"
bestiu.edu.in,https://bestiu.edu.in/,Multiple Entry,Multiple Entry-Exit options
csjmu.ac.in,https://csjmu.ac.in/,FYUP,"Academics Schools Of Study Atal Bihari Vajpayee School Of Legal Studies School of Advanced Agriculture Sciences and Technology School of Arts, Humanities and Social Sciences Department of Clinical Psychology Deen Dayal Shodh Kendra Department Of Economics Department Of Journalism And Mass Communication Department of Library Science Department of Lifelong Learning and Extension Department Of Social Work School Of Basic Sciences Department of Physics Department of Chemistry Department of Mathematics School Of Creative And Performing Arts Department Of Fine Arts Department Of Music School Of Business Management School Of Engineering And Technology (UIET) School Of Health Sciences School Of Hotel Management School Of Languages हिंदी विभाग Department of English and Modern European and Other Foreign Languages School of Life Sciences And Biotechnology Department Of Life Sciences And Biotechnology School of Pharmaceutical Sciences Department Of Pharmaceutical Sciences School of Teacher Education Department Of Advanced Educational Research And Teaching Of Educational Foundations Department of Physical Education NEP 2020 FYUP Document University Syllabus Academic Calendar Equivalence Of Courses/Degrees Guidelines for Pursuing Two Academic Programs Simultaneously Education Verification"
csjmu.ac.in,https://csjmu.ac.in/,FYUP,FYUP Document
csjmu.ac.in,https://csjmu.ac.in/adsmedia/recruitments/,FYUP,"Academics Schools Of Study Atal Bihari Vajpayee School Of Legal Studies School of Advanced Agriculture Sciences and Technology School of Arts, Humanities and Social Sciences Department of Clinical Psychology Deen Dayal Shodh Kendra Department Of Economics Department Of Journalism And Mass Communication Department of Library Science Department of Lifelong Learning and Extension Department Of Social Work School Of Basic Sciences Department of Physics Department of Chemistry Department of Mathematics School Of Creative And Performing Arts Department Of Fine Arts Department Of Music School Of Business Management School Of Engineering And Technology (UIET) School Of Health Sciences School Of Hotel Management School Of Languages हिंदी विभाग Department of English and Modern European and Other Foreign Languages School of Life Sciences And Biotechnology Department Of Life Sciences And Biotechnology School of Pharmaceutical Sciences Department Of Pharmaceutical Sciences School of Teacher Education Department Of Advanced Educational Research And Teaching Of Educational Foundations Department of Physical Education NEP 2020 FYUP Document University Syllabus Academic Calendar Equivalence Of Courses/Degrees Guidelines for Pursuing Two Academic Programs Simultaneously Education Verification"
csjmu.ac.in,https://csjmu.ac.in/adsmedia/recruitments/,FYUP,FYUP Document
